,,,,,,,Generator ,,,,Generator,,,,Mains Power Cabinet,,,,,Additional Power cabinet,,,,,Batteries,,,,Aircon 1,,,Aircon 2,,,SOLAR,,,,Environnement Statut,,,,SHELTER,,,,,,,,,,,
Site ID IHS,ID Operator,Name site,Topology,Indoor/Outdoor,SBC,# nber of Gen,Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (V/AH),Battery type,Battery Number,Brand,Capacity (V/W),Statut (OK/NOK),Brand,Capacity (V/W),Statut (OK/NOK),#Nber of pannel,Brand,Capacity,Working (OK/NOK),Leakage  OK/NOK,Abandonned equipment on site YES/NO,Site cleaning OK/NOK,Light Statut OK/NOK,Shelter statut,Comments if we have issues on site,Timeline to closed those issues,"Overall site statut 
SBC Feedback",Final Site statut SS  OK/NOK,DATE,,j,j,j,j,j
IHS_EDA_064,LIT_506,Sokelle,Gen Only,Outdoor,GRATO,1,COLOR CERAMICA,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 05:00:00,,,,,,
IHS_BNB_102,LIT_622,Ndobo3,Grid-Gen,Outdoor,GRATO,1,GB POWER,,,33,,,,,,IPT 12 KW,CLIM FAULTY,,5,,,,,,,Ritar 12V-180AH,Ritar 12V-180AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 17:00:00,,,,,,
IHS_DLA_433,LIT_442,Cite de Paix,Grid-Gen,Outdoor,GRATO,1,MIKANO,,,15,,,,,,IPT 12 KW,DELTA,,3,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,;2 EXTRACTEURS D'AIR FAULTY/LA BAIE NE SE FERME PAS;,,,,01/28/2026 07:00:00,,,,,,
IHS_BNB_104,LIT_017,Bberi-Chateau,Grid-Gen,Indoor,GRATO,0,JMG,,,33,,,,,,ZTE 24 KW,ZTE,,6,,,,,,,VISION 48V/150AH,VISION 48V/150AH,6,,,,,,,,,,,,,,,,,,,,01/27/2026 18:00:00,,,,,,
IHS_EDA_030,LIT_231,Nkak,Solar-Gen-Lithium,Outdoor,GRATO,1,TRION,,,20,,,,,,Huawei - 24 KW,HUAWEI,,5,,,,,,,Lithium 48V-150AH,Lithium 48V-150AH,2,,,,,,,,,,,,,,,,;2/8 redresseurs faulty;,,,,01/26/2026 19:00:00,,,,,,
IHS_EDA_066,LIT_510,Kanga,Grid-Gen,Outdoor,GRATO,1,TRION,,,13,,,,,,IPT 12KW,DELTA,,2,,,,,,,Vision 12V-180AH,Vision 12V-180AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 15:00:00,,,,,,
IHS_DLA_138,LIT_098,Cite-Sic,Grid-Gen,Indoor,GRATO,1,MIKANO,,,30,,,,,,IPT 12 KW,DELTA,,2,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 10:00:00,,,,,,
IHS_BNB_028,LIT_346,Bberi-Abattoir,Grid-Gen,Outdoor,GRATO,0,GB POWER,,,30,,,,,,HUAWEI 24KW,HUAWEI,,5,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 15:00:00,,,,,,
IHS_EDA_024,LIT_388,Sikoum-II,Gen-Lithium,Outdoor,GRATO,1,IPT TRION ,,,15,,,,,,HUAWEI 24KW,HUAWI,,6,,,,,,,Lithium 100AH,Lithium 100AH,2,,,,,,,,,,,,,,,,,,,,01/26/2026 14:00:00,,,,,,
IHS_BNB_017,LIT_094,Mabanda,Grid-Gen,Outdoor,GRATO,1,JMG,,,30,,,,,,ZTE 36 KW,ZTE,,9,,,,,,,ZTE 54V/100AH,ZTE 54V/100AH,4,,,,,,,,,,,,,,,,,,,,01/27/2026 16:40:00,,,,,,
