,,,,,,,Generator ,,,,Generator,,,,Mains Power Cabinet,,,,,Additional Power cabinet,,,,,Batteries,,,,Aircon 1,,,Aircon 2,,,SOLAR,,,,Environnement Statut,,,,SHELTER,,,,,,,,,,,
Site ID IHS,ID Operator,Name site,Topology,Indoor/Outdoor,SBC,# nber of Gen,Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (V/AH),Battery type,Battery Number,Brand,Capacity (V/W),Statut (OK/NOK),Brand,Capacity (V/W),Statut (OK/NOK),#Nber of pannel,Brand,Capacity,Working (OK/NOK),Leakage  OK/NOK,Abandonned equipment on site YES/NO,Site cleaning OK/NOK,Light Statut OK/NOK,Shelter statut,Comments if we have issues on site,Timeline to closed those issues,"Overall site statut 
SBC Feedback",Final Site statut SS  OK/NOK,DATE,,j,j,j,j,j
IHS_EDA_114,LIT_201,Pouma Makop,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,2,,,,,,,Monbat 12V-180AH,Monbat 12V-180AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 17:00:00,,,,,,
IHS_EDA_101,LIT_121,NGOG MBOG ,Gen-Lithium,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 18:00:00,,,,,,
IHS_EDA_043,LIT_319,Botko,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 15:00:00,,,,,,
IHS_BNB_008,LIT_206,Ngwele,Grid-Gen,Indoor,GRATO,1,TECNO-GEN,,,20,,,,,,ZTE 36 KW,ZTE,,6,,,,,,,ZTE 48V/150AH,ZTE 48V/150AH,3,,,,,,,,,,,,,,,,,,,,01/27/2026 08:00:00,,,,,,
IHS_BNB_023,LIT_364,Bonamatoumbe-II,Grid-Gen,Outdoor,GRATO,0,TECHNO GEN,,,12.5,,,,,,IPT 12KW,DELTA,,2,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 13:42:00,,,,,,
IHS_BNB_036,T1698,Minkwele,Grid-Gen,Outdoor,GRATO,1,MIKANO,,,33,,,,,,IPT 12 KW,DELTA,,4,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 09:00:00,,,,,,
IHS_DLA_468,T1359,MABANDA 3,Grid-Gen,Outdoor,GRATO,1,IPT TRION,,,20,,,,,,PDC 64 KW,PDC,,4,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,4,,,,,,,,,,,,,,,,,,,,01/26/2026 16:00:00,,,,,,
IHS_BNB_026,T0016,Bonaberi Warehouse,Grid-Gen,Indoor,GRATO,1,Earth Technologies,,,45,,,,,,IPT 24 KW,DELTA,,6,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,32,,,,,,,,,,,,,,,,,,,,01/27/2026 09:30:00,,,,,,
IHS_BNB_012,T0452,Sodiko Gare Routiere,Grid-Gen,Outdoor,GRATO,1,MAHINDRA,,,30,,,,,,ZTE 36 KW,ZTZ,,9,,,,,,,VISION 48V/150AH,VISION 48V/150AH,6,,,,,,,,,,,,,,,,,,,,01/27/2026 15:30:00,,,,,,
IHS_BNB_101,T1935,Ndobo,Grid-Gen,Indoor,GRATO,1,ELCOS,,,30,,,,,,IPT 24 KW,DELTA,,6,,,,,,,0,0,0,,,,,,,,,,,,,,,,CARTE GE ILLISIBLE;PSC3 FAULTY;,,,,01/27/2026 09:00:00,,,,,,
IHS_BNB_105,T2511,Bonaberi matelot,Grid-Gen-Lithium,Outdoor,GRATO,1,SUPERNOVA,,,30,,,,,,FNS POWER 36 KW,FNS,,12,,,,,,,VISION 48V-150AH,VISION 48V-150AH,4,,,,,,,,,,,,,,,,,,,,01/28/2026 17:00:00,,,,,,
IHS_BNB_111,T2613,Bepelle bloc,Grid-Gen-Lithium,Outdoor,GRATO,1,GB POWER,,,15,,,,,,FNS POWER 24 KW,FNS,,8,,,,,,,LITHUIM 48V-100AH,LITHUIM 48V-100AH,1,,,,,,,,,,,,,,,,,,,,01/27/2026 16:30:00,,,,,,
IHS_BNB_110,T2094,Bonaminkano Dikolo,Grid-Gen-Lithium,Outdoor,GRATO,1,COLOR CERAMICA,,,15,,,,,,FNS POWER 36 KW,FNS,,3,,,,,,,LITHUIM 48V-100AH,LITHUIM 48V-100AH,1,,,,,,,,,,,,,,,,;CONTROLLEUR MISSING;,,,,01/26/2026 14:03:00,,,,,,
IHS_YND_417,T0298,Sombo,Grid-Gen,Indoor,GRATO,2,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,;3 EXTRACTEURS FAULTY/ VENTILLATEUR EVAPORATEUR FAULTY.;,,,,02/04/2026 08:00:00,,,,,,
IHS_BNB_011,T1701,FORET BAR MABANDA,Grid-Gen,Outdoor,GRATO,1,SACCAL,,,20,,,,,,IPT 24 KW,DELTA,,5,,,,,,,CD TRUE 12C-175AH,CD TRUE 12C-175AH,32,,,,,,,,,,,,,,,,,,,,01/26/2026 22:07:00,,,,,,
IHS_BNB_005,T0867,BONABERI MICHELIN 867,Grid-Gen,Indoor,GRATO,1,MIKANO,,,30,,,,,,ZTE 36 KW,ZTE,,9,,,,,,,VISION 48V/150AH,VISION 48V/150AH,7,,,,,,,,,,,,,,,,,,,,01/26/2026 21:30:00,,,,,,
IHS_BNB_030,T0275,Mabanda,Grid-Gen,Indoor,GRATO,1,MIKANO,,,45,,,,,,ZTE 36 KW,ZTE,,9,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,5,,,,,,,,,,,,,,,,,,,,01/26/2026 12:39:00,,,,,,
IHS_DLA_404,T1390,Bonaberi Magzi,Grid-Gen,Outdoor,GRATO,1,MIKANO,,,30,,,,,,ZTE 36 KW,ZTE,,9,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,6,,,,,,,,,,,,,,,,,,,,01/26/2026 19:22:00,,,,,,
IHS_DLA_404,T1390,Bonaberi Magzi,Grid-Gen,Outdoor,GRATO,1,MIKANO,,,30,,,,,,ZTE 36 KW,ZTE,,9,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,6,,,,,,,,,,,,,,,,,,,,01/26/2026 19:22:00,,,,,,
IHS_DLA_448,LIT_444,Bonaberi Q des Prince,Grid-Gen,Outdoor,GRATO,1,MAHINDRA,,,15,,,,,,IPT 12KW,DELTA,,3,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,4,,,,,,,,,,,,,,,,,,,,01/27/2026 13:44:00,,,,,,
IHS_BNB_018,T0518,Bonamatoumbe,Grid-Gen,Outdoor,GRATO,1,MAHINDRA,,,20,,,,,,ZTE 36KW,ZTE,,6,,,,,,,VISION 48/150,VISION 48/150,6,,,,,,,,,,,,,,,,,,,,02/02/2026 10:00:00,,,,,,
IHS_BNB_035,T0620,Bodjongo,Grid-Gen,Outdoor,GRATO,1,GB POWER,,,30,,,,,,HUAWEI 24KW,HUAWEI,,6,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,3,,,,,,,,,,,,,,,,;POOR BACKUP;,,,,01/26/2026 20:30:00,,,,,,
IHS_BNB_016,LIT_046,Du-Levant,Grid-Gen,Indoor,GRATO,1,MIKANO,,,13,,,,,,IPT 12 KW,DELTA,,3,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,8,,,,,,,,,,,,,,,,,,,,01/26/2026 13:43:00,,,,,,
IHS_BNB_020,T1797,Sodiko 2,Grid-Gen,Outdoor,GRATO,1,MIKANO,,,20,,,,,,IPT 12 KW,DELTA,,3,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/30/2026 20:30:00,,,,,,
IHS_YND_700,LIT_507,Sibongo,Grid-Gen,Outdoor,GRATO,1,COLOR CERAMICA,,,9,,,,,,IPT 12 KW,DELTA,,2,,,,,,,MONBAT 12V-172AH,MONBAT 12V-172AH,16,,,,,,,,,,,,,,,,;PARAFOUDRE FAULTY;,,,,01/29/2026 17:00:00,,,,,,
IHS_BNB_007,T0597,Ngwelle,Grid-Gen,Outdoor,GRATO,1,TECHNO-GEN,,,20,,,,,,IPT 12 KW,DELTA,,3,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 07:30:00,,,,,,
IHS_BNB_107,T3235,Bonaberi 4 Etages,Grid-Gen,Outdoor,GRATO,1,TRION ,,,9,,,,,,VISION 24 KW,HUAWEI,,3,,,,,,,SACRED-SUN 12V-170AH,SACRED-SUN 12V-170AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 21:38:00,,,,,,
IHS_BNB_108,T3218,Ndobo Excellence,Grid-Gen,Outdoor,GRATO,1,MAHINDRA,,,20,,,,,,VISION 24 KW,HUAWEI,,5,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 21:01:00,,,,,,
IHS_EDA_026,T1734,Logbadjeck,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT - 12 KW,DELTA,,3,,,,,,,RITAR 12V-175AH,RITAR 12V-175AH,16,,,,,,,,,,,,,,,,BATTERY FAULTY;Fuite d'huile au niveau du carter inférieur et supérieur;,,,,01/26/2026 13:42:00,,,,,,
IHS_BNB_109,T2506,BODJONGO ABEDI,Grid-Gen-Lithium,Outdoor,GRATO,1,GB POWER,,,15,,,,,,FNS POWER 24 KW,FNS,,8,,,,,,,LITHUIM 48V-100AH,LITHUIM 48V-100AH,1,,,,,,,,,,,,,,,,,,,,01/27/2026 21:30:00,,,,,,
IHS_DLA_534,T2085,LENDI RUE DUPLEX,Grid-Gen,Outdoor,GRATO,1,SUPERNOVA,,,30,,,,,,ZTE 36 KW,ZTE,,9,,,,,,,VISION 48V/150AH,VISION 48V/150AH,4,,,,,,,,,,,,,,,,,,,,01/29/2026 12:30:00,,,,,,
IHS_EDA_061,T2550,EDEA BISSEKE MARKET,Gen Only,Outdoor,GRATO,1,IPT POWER TECH,,,15,,,,,,IPT 12 KW,DELTA,,1,,,,,,,VISION 48V/150AH,VISION 48V/150AH,2,,,,,,,,,,,,,,,,;ALTERNATEUR DE CHARGE FAULTY;,,,,01/28/2026 10:00:00,,,,,,
IHS_DLA_163,LIT_024,Socaver,Grid-Gen,Indoor,GRATO,1,YOUNESS,,,13,,,,,,IPT 12 KW,DELTA,,3,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,8,,,,,,,,,,,,,,,,,,,,01/27/2026 16:00:00,,,,,,
IHS_DLA_254,LIT_057,Bsadi-Terminus,Grid-Gen-Lithium,Indoor,GRATO,#N/A,#N/A,,,#N/A,,,,,,#N/A,#N/A,,#N/A,,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,
IHS_EDA_036,LIT_069,Pouma,Grid-Gen,Indoor,GRATO,1,TECHNO GEN,,,15,,,,,,IPT 12 KW,DELTA,,2,,,,,,,MONBAT 12V-180AH,MONBAT 12V-180AH,16,,,,,,,,,,,,,,,,,,,,02/05/2026 11:00:00,,,,,,
IHS_EDA_022,LIT_113,Dizangue,Grid-Gen,Indoor,GRATO,1,TECHNO-GEN,,,12.5,,,,,,IPT 12KW,DELTA,,2,,,,,,,no name,no name,16,,,,,,,,,,,,,,,,FUITE D'HUILE AU NIVEAU DU CARTER INFERIEUR;PARAFOUDRE FAULTY/ CONTROLLEUR N'AFFICHE PAS LA VALEUR DU LOAD;,,,,01/26/2026 09:00:00,,,,,,
IHS_EDA_040,LIT_135,Ngonga,Grid-Gen,Indoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V/180AH,MONBAT 12V/180AH,16,,,,,,,,,,,,,,,,,,,,02/02/2026 17:00:00,,,,,,
IHS_EDA_044,LIT_138,Sackbayeme,Grid-Gen,Indoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/29/2026 11:00:00,,,,,,
IHS_BNB_033,LIT_181,Bonendale,Grid-Gen,Indoor,GRATO,1,MAHINDRA,,,20,,,,,,ZTE 36 KW,ZTE,,6,,,,,,,SACRES SUN 48V/175AH,SACRES SUN 48V/175AH,8,,,,,,,,,,,,,,,,,,,,01/30/2026 10:00:00,,,,,,
IHS_EDA_039,LIT_191,Mouanko,Grid-Gen,Indoor,GRATO,1,IPT TRION ,,,20,,,,,,IPT - 12 KW,DELTA,,2,,,,,,,RITAR 12V-180AH,RITAR 12V-180AH,8,,,,,,,,,,,,,,,,,,,,01/27/2026 16:00:00,,,,,,
IHS_DLA_126,LIT_217,Ndokoti-New,Grid-Gen,Outdoor,GRATO,1,MAHINDRA,,,20,,,,,,IPT 12KW,DELTA,,4,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,;EXTRACTEURS FAULTY;,,,,01/30/2026 10:00:00,,,,,,
IHS_DLA_216,LIT_224,Makepe-St-Tropez,Grid-Gen,Outdoor,GRATO,1,Tecno Gen,,,20,,,,,,HUAWEI 24KW,HUAWEI,,8,,,,,,,RITAR 12V-180AH,RITAR 12V-180AH,12,,,,,,,,,,,,,,,,,,,,01/28/2026 12:00:00,,,,,,
IHS_DLA_187,LIT_267,Sable,Grid-Gen,Outdoor,GRATO,1,EARTH TECHNOLOGIE,,,22,,,,,,IPT 12KW,DELTA,,5,,,,,,,Sacred sun 12V/175AH,Sacred sun 12V/175AH,16,,,,,,,,,,,,,,,,;LE POWER CABINET IPT NE SE FERME PAS HERMETIQUEMENT SON SYSTÈME DE FERMETURE HS;,,,,01/26/2026 16:40:00,,,,,,
IHS_BNB_031,LIT_362,Bonabappe-II,Grid-Gen,Outdoor,GRATO,1,MAHINGRA,,,15,,,,,,IPT 12 KW,DELTA,,3,,,,,,,SACRED SUN 48V-175AH,SACRED SUN 48V-175AH,8,,,,,,,,,,,,,,,,; CLIM FAULTY;,,,,01/27/2026 14:21:00,,,,,,
IHS_DLA_229,LIT_400,Bonawon,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,ELTEK 8KW,FLATPACK,,3,,,,,,,sacred sun 12V/175AH,sacred sun 12V/175AH,8,,,,,,,,,,,,,,,,,,,,01/28/2026 17:20:00,,,,,,
IHS_DLA_156,LIT_401,Makepe-Maturite,Grid-Gen,Outdoor,GRATO,1,FG WILSON,,,15,,,,,,IPT 12KW,DELTA,,3,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 07:00:00,,,,,,
IHS_DLA_452,LIT_450,Quartier Gentil ,Grid-Gen,Outdoor,GRATO,1,TECNO-GEN,,,15,,,,,,IPT 12 KW,DELTA,,3,,,,,,,12HRV 170AH,12HRV 170AH,16,,,,,,,,,,,,,,,, GEN OVER LOAD;1 EXTRACTEUR D'AIR ET PARAFOUDRE FAULTY;1 EXTRACTEUR D'AIR ET PARAFOUDRE FAULTY,,,,01/29/2026 10:00:00,,,,,,
IHS_EDA_060,LIT_508,Logbong,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/29/2026 13:00:00,,,,,,
IHS_EDA_065,LIT_509,Kopongo,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,, IPT- 12 KW,DELTA,,2,,,,,,,RITAR 12V-175AH,RITAR 12V-175AH,2,,,,,,,,,,,,,,,,,,,,01/30/2026 14:00:00,,,,,,
IHS_EDA_068,LIT_513,Poutkak,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 16:00:00,,,,,,
IHS_EDA_063,LIT_517,Bihaing,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 14:00:00,,,,,,
IHS_DLA_124,T0020,Cite Bassa,Grid-Gen-Lithium,Indoor,GRATO,1,IPT TRION,,,20,,,,,,IPT 12 KW,DELTA,,5,,,,,,,RITAR 12V-180AH,RITAR 12V-180AH,16,,,,,,,,,,,,,,,,,,,,01/30/2026 15:00:00,,,,,,
IHS_EDA_021,T0136,Dizangue,Grid-Gen,Indoor,GRATO,1,IPT TRION ,,,9,,,,,,IPT 12KW,DELTA,,2,,,,,,,VISION 12V-170AH,VISION 12V-170AH,16,,,,,,,,,,,,,,,,BATTERY GE FAULTY/ FUITE D'HUILE AU BLOC MOTEUR,,,,02/03/2026 15:00:00,,,,,,
IHS_EDA_038,T0137,Mouanko Post Office,Grid-Gen,Indoor,GRATO,1,COLOR CERAMICA,,,13,,,,,,IPT - 12 KW,DELTA,,2,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,12,,,,,,,,,,,,,,,,;RCP FAULTY/ DISJONCTEUR INVERSEUR FAULTY/CONTACTEUR ENEO FAULTY;,,,,01/27/2026 10:00:00,,,,,,
IHS_EDA_035,T0235,Pouma Hospital,Grid-Gen,Indoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,2,,,,,,,MONBAT 12V/180AH,MONBAT 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/29/2026 18:00:00,,,,,,
IHS_EDA_009,T0262,Ntoumba SDH,Grid-Gen-Lithium,Indoor,GRATO,1,TRION,,,30,,,,,,HUAWEI-36W,HUAWEI,,6,,,,,,,Lithium 100AH,Lithium 100AH,6,,,,,,,,,,,,,,,,,,,,02/04/2026 10:09:00,,,,,,
IHS_DLA_125,T0398,Ndokoti,Grid-Gen,Indoor,GRATO,1,Tecno Gen,,,15,,,,,,IPT 12 KW ,DELTA,,3,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/30/2026 07:00:00,,,,,,
IHS_DLA_253,T0424,Bonamoussadi2,Grid-Gen,Outdoor,GRATO,1,MIKANO,,,9,,,,,,IPT 12 KW,DELTA,,3,,,,,,,sacred sun 12V/175AH,sacred sun 12V/175AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 14:00:00,,,,,,
IHS_EDA_001,T0428,Edea Town,Grid-Gen,Outdoor,GRATO,1,Olympian,,,12.5,,,,,,HUAWEI 12KW,HUAWEI,,2,,,,,,,MONBAT 12V-170AH,MONBAT 12V-170AH,16,,,,,,,,,,,,,,,,CARTE GE FAULTY,,,,01/28/2026 13:21:00,,,,,,
IHS_EDA_045,T0491,Sack Bayeme,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/29/2026 12:00:00,,,,,,
IHS_DLA_171,T0497,Bassa Zone Industrielle,Grid-Gen,Indoor,GRATO,1,Tecno Gen,,,20,,,,,,IPT 12KW,DELTA,,5,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 08:00:00,,,,,,
IHS_DLA_224,T0499,Denver,Grid-Gen,Outdoor,GRATO,1,MIKANO,,,20,,,,,,IPT - 12 KW,DELTA,,3,,,,,,,sacred sun 12V/175AH,sacred sun 12V/175AH,16,,,,,,,,,,,,,,,,,,,,02/04/2026 09:30:00,,,,,,
IHS_DLA_139,T0508,Cite SIC,Grid-Gen,Outdoor,GRATO,1,Mikano,,,9,,,,,,IPT 12 KW,DELTA,,3,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 11:00:00,,,,,,
IHS_BNB_034,T0511,Bonandalle,Grid-Gen,Outdoor,GRATO,1,Olympian,,,12.5,,,,,,IPT 12 KW,DELTA,,3,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,;PSC3 FAULTY/CLIM FAULTY /2 EXTRACTEURS FAULTY;,,,,01/30/2026 08:00:00,,,,,,
IHS_DLA_217,T0522,Makepe St Tropez,Grid-Gen,Outdoor,GRATO,1,Tecno Gen,,,12.5,,,,,,IPT 12KW,DELTA,,3,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,8,,,,,,,,,,,,,,,,,,,,01/28/2026 14:00:00,,,,,,
IHS_DLA_146,T0598,Total Ndokotti,Grid-Gen,Outdoor,GRATO,1,Earth technologies,,,22,,,,,,HUAWEI 24KW,HUAWEI,,6,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 14:00:00,,,,,,
IHS_DLA_230,T0625,Bonamoussadi3,Grid-Gen,Outdoor,GRATO,1,IPT Power Tech Trion,,,9,,,,,,IPT 12KW,DELTA,,2,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 15:30:00,,,,,,
IHS_YND_538,T0727,Dibang,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 14:00:00,,,,,,
IHS_EDA_025,T0762,Sikom Mtn,Gen-Lithium,Indoor,GRATO,2,MIKANO,,,20,,,,,,HUAWEI 24KW,HUAWEI,,6,,,,,,,Lithium 48V-100AH,Lithium 48V-100AH,2,,,,,,,,,,,,,,,,,,,,01/26/2026 15:00:00,,,,,,
IHS_EDA_028,T0770,Ebombe2,Gen Only,Indoor,GRATO,2,TRION,,,20,,,,,,IPT - 12 KW,DELTA,,3,,,,,,,Agisson 170 AH,Agisson 170 AH,12,,,,,,,,,,,,,,,,AFFICHEUR DE LA CARTE GE 2 FAULTY CAR IL A TOURNE MOINS DE 5H QUE PREVU/ COMPTEUR MECANIQUE A REMPLACE/ON A SUPPRIME LES COURANTS GE;CONTROLEUR PC3 FAULTY;,,,,01/26/2026 18:00:00,,,,,,
IHS_DLA_186,T0865,Bonamoussadi Sable,Grid-Gen,Outdoor,GRATO,1,Jubaili  Bros,,,17,,,,,,IPT 12KW,DELTA,,3,,,,,,,Sacred sun 12V/175AH,Sacred sun 12V/175AH,8,,,,,,,,,,,,,,,,;LE POWER CABINET IPT NE SE FERME PAS HERMETIQUEMENT SON SYSTÈME DE FERMETURE HS;,,,,01/26/2026 17:00:00,,,,,,
IHS_EDA_019,T0575,Ngoulmepa,Gen-Lithium,Outdoor,GRATO,1,COLOR CERAMICA,,,15,,,,,,HUAWEI 24 KW,HUAWEI,,6,,,,,,,LITHIUM 48V-100AH ,LITHIUM 48V-100AH ,3,,,,,,,,,,,,,,,,,,,,01/26/2026 13:00:00,,,,,,
IHS_BNB_013,T0634,Bonaminkano,Grid-Gen,Outdoor,GRATO,1,Tecno Gen,,,20,,,,,,ZTE 36KW,ZTE,,9,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,5,,,,,,,,,,,,,,,,,,,,01/26/2026 22:17:00,,,,,,
IHS_DLA_274,T1128,Kotto Village,Grid-Gen,Outdoor,GRATO,1,COLOR CERAMICA,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,;3 EXTRACTEURS FAULTY/ VENTILLATEUR EVAPORATEUR FAULTY;,,,,02/11/2026 08:00:00,,,,,,
IHS_BNB_027,T1129,Bonadale 2,Grid-Gen,Outdoor,GRATO,1,Jubaili  Bros,,,17,,,,,,IPT 12KW,DELTA,,2,,,,,,,SACRED SUN 12V-180AH,SACRED SUN 12V-180AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 16:00:00,,,,,,
IHS_EDA_034,T1139,MBambu,Gen-Lithium,Outdoor,GRATO,1,COLOR CERAMICA,,,13,,,,,,Huawei - 24 KW,HUAWEI,,6,,,,,,,Lithium 100AH,Lithium 100AH,2,,,,,,,,,,,,,,,,FUITE D'HULE AU NIVEAU DU CARTER;AUTONOMIE TRES FAILBLE;,,,,01/27/2026 19:00:00,,,,,,
IHS_DLA_482,T1140,MALIMBA,Hybrid-Gen,Outdoor,GRATO,1,IPT TRION ,,,15,,,,,,IPT-12KW,DELTA,,2,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,;BACKUP FAIBLE;,,,,01/27/2026 13:00:00,,,,,,
IHS_BNB_024,T1700,NKOMBA 2,Grid-Gen,Outdoor,GRATO,1,Color ceramica,,,20,,,,,,HUAWEI 24 KW,HUAWEI,,6,,,,,,,VISION 48V/100AH,VISION 48V/100AH,3,,,,,,,,,,,,,,,,;BACKUP NUL;,,,,01/27/2026 17:00:00,,,,,,
IHS_BNB_115,T1163,BONABERI 105 GABONAIS,Grid-Gen-Lithium,Outdoor,GRATO,1,ELCOS,,,15,,,,,,DPC 24KW,DPC,,3,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,3,,,,,,,,,,,,,,,,,,,,01/29/2026 18:00:00,,,,,,
IHS_EDA_041,T0410,Song Loulou,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,no name,no name,16,,,,,,,,,,,,,,,,,,,,02/07/2026 07:00:00,,,,,,
IHS_DLA_206,T0517,Song Kot,Grid-Gen,Outdoor,GRATO,1,JUBALI BROSS,,,30,,,,,,Huawei - 24 KW,HUAWEI,,8,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,32,,,,,,,,,,,,,,,,CABLE D'ALIMENTATION CHARGEUR STATIQUE PLUS ORDRE DE DEMARRAGE FAULTY,,,,01/27/2026 12:00:00,,,,,,
IHS_BNB_010,T0112,Sodiko,Grid-Gen,Indoor,GRATO,1,JMG,,,30,,,,,,ZTE 36 KW,ZTE,,9,,,,,,,VISION 53V/150AH,VISION 53V/150AH,4,,,,,,,,,,,,,,,,,,,,01/27/2026 21:49:00,,,,,,
IHS_DLA_300,T0720,Mbongo,Grid-Gen,Outdoor,GRATO,1,IPT TRION ,,,15,,,,,,IPT - 12 KW ,DELTA,,3,,,,,,,VISION 48V/150AH,VISION 48V/150AH,3,,,,,,,,,,,,,,,,"RCP, RELAIS ENEO ET GE FAULTY",,,,01/29/2026 18:00:00,,,,,,
IHS_DLA_469,T1187,MABANDA 4,Grid-Gen,Outdoor,GRATO,1,YOUNESS,,,20,,,,,,IPT 12 KW,DELTA ,,4,,,,,,,MONBAT 12V 180 AH,MONBAT 12V 180 AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 12:10:00,,,,,,
